iteration,density_residual_log10,cl,cd
0,-4.24123626,0.09831293239,0.03469170606
0,-4.241104642,0.09832131397,0.03469394084
0,-4.241165433,0.098330078,0.03469627347
0,-4.241426471,0.09833922943,0.03469870457
0,-4.241904371,0.09834877274,0.03470123466
0,-4.242569533,0.09835871176,0.03470386407
0,-4.243341823,0.09836904976,0.03470659299
0,-4.244123238,0.09837978934,0.03470942146
0,-4.244846001,0.09839093291,0.0347123493
0,-4.245428709,0.09840248143,0.03471537617
0,-4.245819188,0.09841443492,0.03471850157
0,-4.245995149,0.09842679258,0.03472172479
0,-4.245927275,0.09843955266,0.03472504492
0,-4.245600353,0.09845271253,0.03472846088
0,-4.245076147,0.09846626849,0.03473197134
0,-4.244432905,0.0984802157,0.03473557476
0,-4.243733395,0.09849454828,0.03473926934
0,-4.243013616,0.09850926243,0.03474305315
0,-4.242315815,0.09852435157,0.03474692399
0,-4.241685613,0.09853980608,0.03475087936
0,-4.241198839,0.09855561515,0.03475491651
0,-4.240840204,0.09857176669,0.0347590324
0,-4.240649524,0.0985882477,0.03476322376
0,-4.240621197,0.09860504412,0.03476748708
0,-4.240787844,0.09862214076,0.03477181862
0,-4.241122603,0.09863952135,0.03477621436
0,-4.241595494,0.09865716851,0.03478067008
0,-4.242123154,0.09867506381,0.0347851813
0,-4.242627126,0.09869318783,0.03478974332
0,-4.24304924,0.09871152008,0.03479435125
0,-4.243371073,0.09873003907,0.034799
0,-4.243508966,0.09874872232,0.03480368428
0,-4.243502073,0.09876754632,0.03480839863
0,-4.243308642,0.09878648661,0.03481313744
0,-4.243021672,0.09880551793,0.03481789492
0,-4.242680156,0.09882461469,0.0348226651
0,-4.242311132,0.09884375091,0.03482744186
0,-4.241948621,0.09886289992,0.03483221889
0,-4.241614706,0.09888203451,0.03483698984
0,-4.24134823,0.09890112685,0.03484174831
0,-4.241132649,0.09892014882,0.03484648786
0,-4.241007084,0.09893907205,0.03485120203
0,-4.24098621,0.09895786865,0.03485588435
0,-4.241082466,0.09897651128,0.03486052834
0,-4.241295688,0.09899497277,0.0348651275
0,-4.241613909,0.09901322589,0.03486967535
0,-4.242009988,0.09903124328,0.03487416546
0,-4.242415509,0.09904899747,0.03487859145
0,-4.242733892,0.09906646082,0.03488294707
0,-4.242933027,0.09908360556,0.03488722623
0,-4.24299347,0.09910040505,0.03489142462
0,-4.24289114,0.09911683287,0.03489553706
0,-4.242601789,0.09913286315,0.0348995586
0,-4.242163548,0.09914847067,0.03490348472
0,-4.241632923,0.09916363016,0.0349073117
0,-4.241072184,0.09917831501,0.03491103535
0,-4.240532936,0.09919250011,0.03491465086
0,-4.240023394,0.09920616154,0.03491815322
0,-4.239575415,0.09921927659,0.03492153729
0,-4.239220964,0.09923182391,0.03492479793
0,-4.239010096,0.09924378363,0.03492793019
0,-4.238947677,0.09925513735,0.03493092941
0,-4.239059922,0.09926585843,0.03493379203
0,-4.239332711,0.09927591128,0.03493651569
0,-4.239781517,0.09928528681,0.03493909668
0,-4.240385958,0.09929397727,0.0349415317
0,-4.241095102,0.09930197621,0.03494381786
0,-4.241816963,0.09930927842,0.03494595268
0,-4.242476718,0.09931587991,0.03494793404
0,-4.243035969,0.09932177791,0.0349497602
0,-4.243429182,0.099326971,0.03495142984
0,-4.243609776,0.09933145903,0.03495294203
0,-4.24356069,0.09933524307,0.03495429618
0,-4.243317493,0.09933832531,0.03495549257
0,-4.242842118,0.09934070924,0.03495653164
0,-4.242202035,0.09934239939,0.03495741375
0,-4.241489647,0.09934340062,0.0349581396
0,-4.240720944,0.09934371936,0.03495871019
0,-4.239974392,0.09934335053,0.03495912508
0,-4.239248358,0.09934230207,0.0349593859
0,-4.238601357,0.09934058379,0.03495949454
0,-4.238110379,0.09933820693,0.03495945323
